age_group,category,n,total,prop,fi,lb,meas,source,sex,country,old_category
"[40,45)",Activity limitation,105426,0,0,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[40,45)",Activity limitation,105426,55,5.216929410202417e-4,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[45,50)",Activity limitation,105775,54,5.105176081304656e-4,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[45,50)",Activity limitation,105775,84,7.941385015362799e-4,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[45,50)",Activity limitation,105775,54,5.105176081304656e-4,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[45,50)",Activity limitation,105775,84,7.941385015362799e-4,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[50,55)",Activity limitation,109520,68,6.208911614317019e-4,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[50,55)",Activity limitation,109520,109,9.952520087655222e-4,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[50,55)",Activity limitation,109520,68,6.208911614317019e-4,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[50,55)",Activity limitation,109520,109,9.952520087655222e-4,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[55,60)",Activity limitation,99193,114,0.001149274646396419,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[55,60)",Activity limitation,99193,158,0.0015928543344792476,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[55,60)",Activity limitation,99193,114,0.001149274646396419,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[55,60)",Activity limitation,99193,158,0.0015928543344792476,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[60,65)",Activity limitation,89493,150,0.0016761087459354362,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[60,65)",Activity limitation,89493,213,0.0023800744192283194,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[60,65)",Activity limitation,89493,150,0.0016761087459354362,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[60,65)",Activity limitation,89493,213,0.0023800744192283194,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[65,70)",Activity limitation,83563,201,0.00240537079808049,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[65,70)",Activity limitation,83563,288,0.003446501442025777,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[65,70)",Activity limitation,83563,201,0.00240537079808049,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[65,70)",Activity limitation,83563,288,0.003446501442025777,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[70,75)",Activity limitation,73321,231,0.0031505298618404003,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[70,75)",Activity limitation,73321,328,0.004473479630665157,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[70,75)",Activity limitation,73321,231,0.0031505298618404003,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[70,75)",Activity limitation,73321,328,0.004473479630665157,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[75,80)",Activity limitation,60635,239,0.003941617877463511,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[75,80)",Activity limitation,60635,361,0.005953657128721036,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[75,80)",Activity limitation,60635,239,0.003941617877463511,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[75,80)",Activity limitation,60635,361,0.005953657128721036,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[80,100]",Activity limitation,105529,483,0.004576940935666973,efi,1-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[80,100]",Activity limitation,105529,829,0.00785566052933317,efi,3-year lookback,no,IMRD - EMIS,All,UK,Activity limitation
"[80,100]",Activity limitation,105529,483,0.004576940935666973,efi,1-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[80,100]",Activity limitation,105529,829,0.00785566052933317,efi,3-year lookback,yes,IMRD - EMIS,All,UK,Activity limitation
"[40,45)",Activity limitation,50353,0,0,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[40,45)",Activity limitation,50353,28,5.5607411673584e-4,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[40,45)",Activity limitation,50353,0,0,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[40,45)",Activity limitation,50353,28,5.5607411673584e-4,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[45,50)",Activity limitation,51196,26,5.0785217595124e-4,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[45,50)",Activity limitation,51196,40,7.8131103992499e-4,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[45,50)",Activity limitation,51196,26,5.0785217595124e-4,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[45,50)",Activity limitation,51196,40,7.8131103992499e-4,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[50,55)",Activity limitation,53152,34,6.3967489464178e-4,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[50,55)",Activity limitation,53152,58,0.00109121011438892,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[50,55)",Activity limitation,53152,34,6.3967489464178e-4,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[50,55)",Activity limitation,53152,58,0.00109121011438892,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[55,60)",Activity limitation,47543,46,9.675451696359e-4,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[55,60)",Activity limitation,47543,68,0.0014302841638096,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[55,60)",Activity limitation,47543,46,9.675451696359e-4,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[55,60)",Activity limitation,47543,68,0.0014302841638096,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[60,65)",Activity limitation,43308,64,0.00147778701394661,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[60,65)",Activity limitation,43308,95,0.00219359009882701,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[60,65)",Activity limitation,43308,64,0.00147778701394661,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[60,65)",Activity limitation,43308,95,0.00219359009882701,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[65,70)",Activity limitation,40959,83,0.002026416660563,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[65,70)",Activity limitation,40959,125,0.003051832320125,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[65,70)",Activity limitation,40959,83,0.002026416660563,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[65,70)",Activity limitation,40959,125,0.003051832320125,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[70,75)",Activity limitation,37263,98,0.00262995464670048,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[70,75)",Activity limitation,37263,153,0.00410594960148136,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[70,75)",Activity limitation,37263,98,0.00262995464670048,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[70,75)",Activity limitation,37263,153,0.00410594960148136,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[75,80)",Activity limitation,31636,104,0.00328739410797825,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[75,80)",Activity limitation,31636,168,0.0053104058667341,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[75,80)",Activity limitation,31636,104,0.00328739410797825,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[75,80)",Activity limitation,31636,168,0.0053104058667341,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[80,100]",Activity limitation,62998,245,0.0038890123495984,efi,1-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[80,100]",Activity limitation,62998,462,0.00733356614495698,efi,3-year lookback,no,IMRD - EMIS,Female,UK,Activity limitation
"[80,100]",Activity limitation,62998,245,0.0038890123495984,efi,1-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[80,100]",Activity limitation,62998,462,0.00733356614495698,efi,3-year lookback,yes,IMRD - EMIS,Female,UK,Activity limitation
"[40,45)",Activity limitation,55073,0,0,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[40,45)",Activity limitation,55073,27,4.9025838432625e-4,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[40,45)",Activity limitation,55073,0,0,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[40,45)",Activity limitation,55073,27,4.9025838432625e-4,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[45,50)",Activity limitation,54579,28,5.130178273695e-4,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[45,50)",Activity limitation,54579,44,8.0617087158064e-4,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[45,50)",Activity limitation,54579,28,5.130178273695e-4,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[45,50)",Activity limitation,54579,44,8.0617087158064e-4,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[50,55)",Activity limitation,56368,34,6.0317910871416e-4,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[50,55)",Activity limitation,56368,51,9.0476866307124e-4,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[50,55)",Activity limitation,56368,34,6.0317910871416e-4,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[50,55)",Activity limitation,56368,51,9.0476866307124e-4,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[55,60)",Activity limitation,51650,68,0.00131655372700871,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[55,60)",Activity limitation,51650,90,0.00174249757986447,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[55,60)",Activity limitation,51650,68,0.00131655372700871,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[55,60)",Activity limitation,51650,90,0.00174249757986447,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[60,65)",Activity limitation,46185,86,0.00186207643174191,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[60,65)",Activity limitation,46185,118,0.00255494208076215,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[60,65)",Activity limitation,46185,86,0.00186207643174191,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[60,65)",Activity limitation,46185,118,0.00255494208076215,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[65,70)",Activity limitation,42604,118,0.00276969298657403,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[65,70)",Activity limitation,42604,163,0.00382593183738616,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[65,70)",Activity limitation,42604,118,0.00276969298657403,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[65,70)",Activity limitation,42604,163,0.00382593183738616,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[70,75)",Activity limitation,36058,133,0.00368850185811748,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[70,75)",Activity limitation,36058,175,0.00485329191857563,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[70,75)",Activity limitation,36058,133,0.00368850185811748,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[70,75)",Activity limitation,36058,175,0.00485329191857563,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[75,80)",Activity limitation,28999,135,0.00465533294251526,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[75,80)",Activity limitation,28999,193,0.0066554019104107,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[75,80)",Activity limitation,28999,135,0.00465533294251526,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[75,80)",Activity limitation,28999,193,0.0066554019104107,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[80,100]",Activity limitation,42531,238,0.00559591827137852,efi,1-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[80,100]",Activity limitation,42531,367,0.00862900002351226,efi,3-year lookback,no,IMRD - EMIS,Male,UK,Activity limitation
"[80,100]",Activity limitation,42531,238,0.00559591827137852,efi,1-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[80,100]",Activity limitation,42531,367,0.00862900002351226,efi,3-year lookback,yes,IMRD - EMIS,Male,UK,Activity limitation
"[40,45)",Activity limitation,353147,143,4.0493052468235606e-4,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[40,45)",Activity limitation,353147,359,0.0010165738346920687,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[40,45)",Activity limitation,353147,143,4.0493052468235606e-4,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[40,45)",Activity limitation,353147,359,0.0010165738346920687,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[45,50)",Activity limitation,390736,242,6.193440072069121e-4,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[45,50)",Activity limitation,390736,573,0.0014664632897915728,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[45,50)",Activity limitation,390736,242,6.193440072069121e-4,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[45,50)",Activity limitation,390736,573,0.0014664632897915728,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[50,55)",Activity limitation,395711,387,9.779864598153704e-4,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[50,55)",Activity limitation,395711,818,0.002067165178627837,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[50,55)",Activity limitation,395711,387,9.779864598153704e-4,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[50,55)",Activity limitation,395711,818,0.002067165178627837,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[55,60)",Activity limitation,359165,573,0.0015953670318655771,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[55,60)",Activity limitation,359165,1147,0.0031935182993888603,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[55,60)",Activity limitation,359165,573,0.0015953670318655771,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[55,60)",Activity limitation,359165,1147,0.0031935182993888603,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[60,65)",Activity limitation,336935,789,0.0023416979536112306,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[60,65)",Activity limitation,336935,1585,0.004704171427723448,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[60,65)",Activity limitation,336935,789,0.0023416979536112306,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[60,65)",Activity limitation,336935,1585,0.004704171427723448,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[65,70)",Activity limitation,328897,1110,0.003374916767255402,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[65,70)",Activity limitation,328897,2338,0.007108608470128946,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[65,70)",Activity limitation,328897,1110,0.003374916767255402,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[65,70)",Activity limitation,328897,2338,0.007108608470128946,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[70,75)",Activity limitation,271880,1315,0.00483669265852582,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[70,75)",Activity limitation,271880,2986,0.010982786523466235,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[70,75)",Activity limitation,271880,1315,0.00483669265852582,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[70,75)",Activity limitation,271880,2986,0.010982786523466235,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[75,80)",Activity limitation,223491,1542,0.006899606695571634,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[75,80)",Activity limitation,223491,3856,0.017253491192039054,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[75,80)",Activity limitation,223491,1542,0.006899606695571634,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[75,80)",Activity limitation,223491,3856,0.017253491192039054,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[80,100]",Activity limitation,376041,3227,0.008581511058634564,efi,1-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[80,100]",Activity limitation,376041,8928,0.023742091952739196,efi,3-year lookback,no,IMRD - THIN,All,UK,Activity limitation
"[80,100]",Activity limitation,376041,3227,0.008581511058634564,efi,1-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[80,100]",Activity limitation,376041,8928,0.023742091952739196,efi,3-year lookback,yes,IMRD - THIN,All,UK,Activity limitation
"[40,45)",Activity limitation,183841,87,4.7323502374334e-4,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[40,45)",Activity limitation,183841,213,0.00115860988571646,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[40,45)",Activity limitation,183841,87,4.7323502374334e-4,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[40,45)",Activity limitation,183841,213,0.00115860988571646,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[45,50)",Activity limitation,202984,141,6.9463603042604e-4,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[45,50)",Activity limitation,202984,342,0.00168486186103338,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[45,50)",Activity limitation,202984,141,6.9463603042604e-4,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[45,50)",Activity limitation,202984,342,0.00168486186103338,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[50,55)",Activity limitation,203977,218,0.00106874794707246,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[50,55)",Activity limitation,203977,476,0.00233359643489217,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[50,55)",Activity limitation,203977,218,0.00106874794707246,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[50,55)",Activity limitation,203977,476,0.00233359643489217,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[55,60)",Activity limitation,182586,311,0.00170330693481428,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[55,60)",Activity limitation,182586,645,0.00353258190660839,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[55,60)",Activity limitation,182586,311,0.00170330693481428,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[55,60)",Activity limitation,182586,645,0.00353258190660839,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[60,65)",Activity limitation,170565,352,0.00206372937003488,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[60,65)",Activity limitation,170565,754,0.00442060211649518,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[60,65)",Activity limitation,170565,352,0.00206372937003488,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[60,65)",Activity limitation,170565,754,0.00442060211649518,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[65,70)",Activity limitation,166487,557,0.00334560656387586,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[65,70)",Activity limitation,166487,1223,0.00734591890057482,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[65,70)",Activity limitation,166487,557,0.00334560656387586,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[65,70)",Activity limitation,166487,1223,0.00734591890057482,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[70,75)",Activity limitation,140385,624,0.00444491932898814,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[70,75)",Activity limitation,140385,1528,0.0108843537414966,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[70,75)",Activity limitation,140385,624,0.00444491932898814,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[70,75)",Activity limitation,140385,1528,0.0108843537414966,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[75,80)",Activity limitation,119257,736,0.00617154548579958,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[75,80)",Activity limitation,119257,1958,0.0164183234527114,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[75,80)",Activity limitation,119257,736,0.00617154548579958,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[75,80)",Activity limitation,119257,1958,0.0164183234527114,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[80,100]",Activity limitation,228084,1758,0.00770768664176356,efi,1-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[80,100]",Activity limitation,228084,5263,0.0230748320794093,efi,3-year lookback,no,IMRD - THIN,Female,UK,Activity limitation
"[80,100]",Activity limitation,228084,1758,0.00770768664176356,efi,1-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[80,100]",Activity limitation,228084,5263,0.0230748320794093,efi,3-year lookback,yes,IMRD - THIN,Female,UK,Activity limitation
"[40,45)",Activity limitation,169306,56,3.3076205214227e-4,efi,1-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[40,45)",Activity limitation,169306,146,8.6234392165664e-4,efi,3-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[40,45)",Activity limitation,169306,56,3.3076205214227e-4,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[40,45)",Activity limitation,169306,146,8.6234392165664e-4,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[45,50)",Activity limitation,187752,101,5.3794367037368e-4,efi,1-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[45,50)",Activity limitation,187752,231,0.00123034641441902,efi,3-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[45,50)",Activity limitation,187752,101,5.3794367037368e-4,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[45,50)",Activity limitation,187752,231,0.00123034641441902,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[50,55)",Activity limitation,191734,169,8.81429480426e-4,efi,1-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[50,55)",Activity limitation,191734,342,0.00178372119707511,efi,3-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[50,55)",Activity limitation,191734,169,8.81429480426e-4,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[50,55)",Activity limitation,191734,342,0.00178372119707511,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[55,60)",Activity limitation,176579,262,0.00148375514642171,efi,1-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[55,60)",Activity limitation,176579,502,0.00284292016604466,efi,3-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[55,60)",Activity limitation,176579,262,0.00148375514642171,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[55,60)",Activity limitation,176579,502,0.00284292016604466,efi,3-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
"[60,65)",Activity limitation,166370,437,0.0026266754823586,efi,1-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[60,65)",Activity limitation,166370,831,0.00499489090581235,efi,3-year lookback,no,IMRD - THIN,Male,UK,Activity limitation
"[60,65)",Activity limitation,166370,437,0.0026266754823586,efi,1-year lookback,yes,IMRD - THIN,Male,UK,Activity limitation
