"category","is_female","age_group","total","n","prop"
"Urinary system disease","1","[45,50)",8324,206166,0.0403752316094797
"Atrial fibrillation","1","[70,75)",4219,142086,0.0296932843489154
"Polypharmacy","1","[70,75)",497,142086,0.00349788156468618
"Activity limitation","1","[75,80)",2013,120407,0.0167182971089721
"Anaemia and haematinic deficiency","0","[75,80)",6988,105382,0.0663111347288911
"Polypharmacy","0","[80,120]",1584,151396,0.0104626278105102
"Thyroid disease","1","[60,65)",8192,172121,0.0475944248522841
"Visual impairment","1","[75,80)",13329,120407,0.110699544046442
"Cerebrovascular disease","1","[70,75)",4842,142086,0.0340779527891559
"Hearing impairment","1","[75,80)",8427,120407,0.0699876253041767
"Atrial fibrillation","0","[65,70)",5397,164562,0.0327961497794144
"Requirement for care","1","[45,50)",606,206166,0.00293937894706208
"Thyroid disease","1","[80,120]",13048,233184,0.0559558117195005
"Thyroid disease","0","[55,60)",1866,179077,0.0104200986167961
"Weight loss and anorexia","0","[80,120]",6526,151396,0.043105498163756
"Social vulnerability","1","[65,70)",1572,168324,0.0093391316746275
"Social vulnerability","1","[55,60)",1178,184234,0.00639404235917366
"Social vulnerability","1","[40,45)",950,187171,0.00507557260473043
"Visual impairment","1","[40,45)",2381,187171,0.012720987759856
"Weight loss and anorexia","0","[65,70)",2423,164562,0.0147239338364872
"Urinary incontinence","1","[75,80)",4383,120407,0.0364015381165547
"Visual impairment","0","[60,65)",5883,168738,0.0348647014898837
"Social vulnerability","0","[75,80)",1612,105382,0.0152967299918392
"Weight loss and anorexia","1","[65,70)",2455,168324,0.014584967087284
"Activity limitation","1","[60,65)",746,172121,0.00433416027097216
"Atrial fibrillation","0","[60,65)",3500,168738,0.0207422157427491
"Requirement for care","1","[60,65)",799,172121,0.0046420831856659
"Falls","1","[55,60)",4952,184234,0.0268788605794804
"Falls","0","[65,70)",3640,164562,0.0221193228084248
"Social vulnerability","0","[40,45)",612,172657,0.00354459998725797
"Weight loss and anorexia","1","[40,45)",1303,187171,0.00696154853048816
"Foot problems","1","[80,120]",881,233184,0.00377813229038013
"Cerebrovascular disease","0","[45,50)",1071,191151,0.00560290032487405
"Social vulnerability","1","[50,55)",1151,206433,0.00557565893050045
"Anaemia and haematinic deficiency","1","[55,60)",4780,184234,0.0259452652604839
"Hearing impairment","1","[60,65)",5454,172121,0.0316870108818796
"Polypharmacy","1","[55,60)",262,184234,0.00142210449754117
"Foot problems","0","[70,75)",323,133029,0.00242804200587842
"Weight loss and anorexia","0","[60,65)",1953,168738,0.011574156384454
"Polypharmacy","1","[65,70)",403,168324,0.0023941921532283
"Requirement for care","1","[50,55)",714,206433,0.00345874932786909
"Weight loss and anorexia","0","[40,45)",1090,172657,0.0063130947485477
"Requirement for care","0","[60,65)",851,168738,0.00504332159916557
"Urinary incontinence","1","[70,75)",4103,142086,0.0288768773841195
"Social vulnerability","0","[50,55)",954,194439,0.00490642309413235
"Atrial fibrillation","0","[55,60)",2256,179077,0.0125979327328468
"Activity limitation","0","[65,70)",1184,164562,0.00719485664977334
"Thyroid disease","0","[50,55)",1820,194439,0.00936026208733844
"Mobility and transfer problems","0","[45,50)",310,191151,0.00162175452914188
"Activity limitation","0","[45,50)",238,191151,0.00124508896108312
"Activity limitation","0","[50,55)",355,194439,0.00182576540714569
"Urinary incontinence","1","[45,50)",5006,206166,0.0242814043052686
"Osteoporosis","0","[65,70)",1470,164562,0.00893280344186386
"Urinary incontinence","0","[70,75)",1160,133029,0.00871990317900608
"Urinary incontinence","1","[55,60)",4246,184234,0.0230467774677855
"Memory and cognitive problems","0","[40,45)",220,172657,0.00127420260979862
"Foot problems","0","[75,80)",275,105382,0.00260955381374428
"Foot problems","1","[70,75)",302,142086,0.00212547330489985
"Foot problems","1","[40,45)",99,187171,0.000528928092492961
"Osteoporosis","1","[45,50)",1390,206166,0.00674213982906978
"Requirement for care","1","[40,45)",472,187171,0.00252175817835028
"Urinary incontinence","1","[40,45)",3641,187171,0.01945279984613
"Polypharmacy","0","[50,55)",150,194439,0.000771450172033388
"Atrial fibrillation","0","[40,45)",425,172657,0.00246152776892915
"Urinary incontinence","1","[65,70)",4207,168324,0.0249934649841971
"Dyspnoea","0","[75,80)",14892,105382,0.141314455979199
"Dizziness","1","[55,60)",12899,184234,0.0700142210449754
"Heart valve disease","1","[80,120]",2281,233184,0.009781974749554
"Dyspnoea","1","[60,65)",10480,172121,0.0608873989809494
"Dyspnoea","1","[65,70)",13172,168324,0.0782538437774768
"Sleep disturbance","0","[75,80)",3631,105382,0.03445559962802
"Dizziness","0","[65,70)",9114,164562,0.0553833813395559
"Parkinsonism and tremor","0","[65,70)",1757,164562,0.0106768269709897
"Hypotension / syncope","0","[55,60)",2596,179077,0.0144965573468396
"Sleep disturbance","1","[50,55)",7518,206433,0.0364185958640334
"Hearing impairment","1","[40,45)",2690,187171,0.0143718845333946
"Parkinsonism and tremor","1","[60,65)",1091,172121,0.00633856414963892
"Dizziness","0","[40,45)",4325,172657,0.0250496649426319
"Peptic ulcer","0","[55,60)",390,179077,0.00217783411605064
"Dizziness","0","[75,80)",8984,105382,0.0852517507733769
"Heart valve disease","0","[75,80)",869,105382,0.00824619005143193
"Atrial fibrillation","1","[40,45)",126,187171,0.000673181208627405
"Heart failure","1","[55,60)",481,184234,0.00261081016533322
"Dyspnoea","0","[40,45)",3351,172657,0.0194084224792508
"Peptic ulcer","0","[80,120]",1064,151396,0.00702792676160533
"Parkinsonism and tremor","1","[75,80)",2132,120407,0.0177066117418423
"Parkinsonism and tremor","0","[60,65)",1241,168738,0.00735459706764333
"Heart valve disease","1","[75,80)",605,120407,0.00502462481417193
"Peptic ulcer","0","[50,55)",320,194439,0.00164576036700456
"Heart valve disease","1","[40,45)",12,187171,0.0000641124960597528
"Mobility and transfer problems","0","[40,45)",197,172657,0.00114099051877422
"Polypharmacy","0","[40,45)",46,172657,0.000266424182048802
"Heart valve disease","0","[55,60)",142,179077,0.000792954985844078
"Heart valve disease","0","[45,50)",36,191151,0.00018833278402938
"Heart failure","0","[40,45)",242,172657,0.00140162287077848
"Mobility and transfer problems","0","[80,120]",6478,151396,0.0427884488361648
"Skin ulcer","1","[75,80)",2961,120407,0.0245915935120051
"Skin ulcer","0","[80,120]",6714,151396,0.0443472746968216
"Hypertension","1","[70,75)",18586,142086,0.130808102135326
"Respiratory disease","1","[55,60)",23066,184234,0.125199474581239
"Hypertension","1","[40,45)",4771,187171,0.0254900598917567
"Hypertension","0","[75,80)",12503,105382,0.118644550302708
"Ischaemic heart disease","0","[80,120]",18888,151396,0.124758910407144
"Respiratory disease","1","[65,70)",26506,168324,0.157470117155011
"Respiratory disease","0","[80,120]",27152,151396,0.179344236307432
"Hypertension","1","[80,120]",29263,233184,0.125493172773432
"Respiratory disease","0","[75,80)",19496,105382,0.185003131464577
"Peripheral vascular disease","0","[80,120]",3164,151396,0.0208988348437211
"Skin ulcer","1","[70,75)",2165,142086,0.0152372506791661
"Respiratory disease","0","[50,55)",17532,194439,0.0901670961072624
"Skin ulcer","1","[65,70)",1587,168324,0.00942824552648464
"Respiratory disease","1","[80,120]",36011,233184,0.15443169342665
"Hypertension","1","[75,80)",16181,120407,0.134385874575398
"Arthritis","0","[65,70)",17603,164562,0.106968802032061
"Hypertension","1","[50,55)",13368,206433,0.0647570882562381
"Skin ulcer","1","[60,65)",1170,172121,0.00679754358852203
"Diabetes","0","[65,70)",25753,164562,0.156494208869605
"Ischaemic heart disease","1","[75,80)",7316,120407,0.0607605870090609
"Arthritis","0","[55,60)",12847,179077,0.0717400894587245
"Arthritis","1","[60,65)",16535,172121,0.0960661395181297
"Respiratory disease","0","[55,60)",17785,179077,0.0993148198819502
"Diabetes","1","[70,75)",18183,142086,0.127971791731768
"Peripheral vascular disease","0","[65,70)",1943,164562,0.011807100059552
"Hypertension","1","[65,70)",19148,168324,0.113756802357358
"Arthritis","0","[75,80)",14509,105382,0.137680059213148
"Urinary system disease","0","[75,80)",17987,105382,0.170683797992067
"Memory and cognitive problems","0","[70,75)",4493,133029,0.0337745905028227
"Arthritis","1","[50,55)",9806,206433,0.0475020951107623
"Hearing impairment","0","[80,120]",16344,151396,0.10795529604481
"Peripheral vascular disease","0","[50,55)",625,194439,0.00321437571680578
"Hearing impairment","0","[70,75)",8984,133029,0.0675341466898195
"Peripheral vascular disease","0","[75,80)",1968,105382,0.0186749160198136
"Arthritis","0","[45,50)",7231,191151,0.0378287322587902
"Diabetes","0","[60,65)",22347,168738,0.132436084343776
"Ischaemic heart disease","1","[40,45)",222,187171,0.00118608117710543
"Fragility fracture","0","[45,50)",525,191151,0.00274651976709512
"Diabetes","1","[40,45)",4152,187171,0.0221829236366745
"Fragility fracture","1","[80,120]",17393,233184,0.0745891656374365
"Peripheral vascular disease","0","[70,75)",2086,133029,0.0156807914063851
"Diabetes","0","[70,75)",24519,133029,0.184313194867285
"Urinary system disease","0","[55,60)",12010,179077,0.0670661223942773
"Urinary system disease","0","[50,55)",9478,194439,0.0487453648702164
"Skin ulcer","1","[40,45)",363,187171,0.00193940300580752
"Diabetes","0","[45,50)",10005,191151,0.0523408195614985
"Ischaemic heart disease","1","[50,55)",1341,206433,0.00649605440990539
"Peptic ulcer","0","[70,75)",518,133029,0.00389388779890099
"Skin ulcer","1","[55,60)",855,184234,0.00464083719617443
"Diabetes","1","[50,55)",9782,206433,0.0473858346291533
"Fragility fracture","0","[65,70)",1013,164562,0.00615573461674019
"Arthritis","1","[40,45)",3068,187171,0.0163914281592768
"Hypotension / syncope","0","[70,75)",4205,133029,0.031609649023897
"Cerebrovascular disease","0","[60,65)",3959,168738,0.0234624091787268
"Fragility fracture","1","[45,50)",606,206166,0.00293937894706208
"Diabetes","1","[45,50)",6717,206166,0.0325805418934257
"Osteoporosis","0","[55,60)",797,179077,0.00445059946280092
"Osteoporosis","0","[75,80)",1722,105382,0.0163405515173369
"Fragility fracture","0","[60,65)",819,168738,0.00485367848380329
"Heart failure","0","[65,70)",2640,164562,0.0160425857731433
"Osteoporosis","1","[65,70)",9096,168324,0.0540386397661653
"Mobility and transfer problems","0","[60,65)",974,168738,0.00577226232383932
"Cerebrovascular disease","1","[45,50)",932,206166,0.00452062900769283
"Hearing impairment","1","[50,55)",4320,206433,0.0209268866896281
"Hypotension / syncope","0","[75,80)",4853,105382,0.04605150784764
"Fragility fracture","0","[40,45)",461,172657,0.00267003365053256
"Urinary system disease","0","[45,50)",7440,191151,0.0389221086994052
"Peptic ulcer","0","[60,65)",477,168738,0.00282686768836895
"Heart failure","1","[65,70)",1112,168324,0.0066063068843421
"Hearing impairment","1","[80,120]",24382,233184,0.104561204885412
"Cerebrovascular disease","1","[80,120]",19774,233184,0.0847999862769315
"Cerebrovascular disease","0","[55,60)",2884,179077,0.0161048040786924
"Housebound","1","[50,55)",5398,206433,0.0261489199885677
"Housebound","1","[75,80)",23107,120407,0.191907447241439
"Cerebrovascular disease","1","[55,60)",1998,184234,0.0108449037636918
"Falls","1","[50,55)",4251,206433,0.0205926378050021
"Visual impairment","0","[70,75)",9013,133029,0.0677521442692947
"Housebound","1","[65,70)",11799,168324,0.0700969558708206
"Chronic kidney disease","1","[70,75)",28534,142086,0.200822037357657
"Housebound","0","[60,65)",6472,168738,0.0383553200820206
"Cerebrovascular disease","0","[65,70)",5322,164562,0.0323403945017683
"Chronic kidney disease","0","[45,50)",15627,191151,0.08175212266742
"Housebound","1","[70,75)",15803,142086,0.111221372971299
"Thyroid disease","0","[75,80)",2209,105382,0.0209618340893132
"Requirement for care","1","[75,80)",1843,120407,0.0153064190620147
"Falls","0","[70,75)",4367,133029,0.0328274286057927
"Visual impairment","1","[55,60)",4896,184234,0.0265748993128304
"Anaemia and haematinic deficiency","0","[70,75)",5968,133029,0.0448623984244037
"Weight loss and anorexia","0","[75,80)",3227,105382,0.0306219278434647
"Chronic kidney disease","1","[45,50)",19572,206166,0.0949332091615494
"Housebound","0","[45,50)",2658,191151,0.0139052372208359
"Thyroid disease","1","[70,75)",7455,142086,0.0524682234702926
"Chronic kidney disease","0","[40,45)",11385,172657,0.0659399850570785
"Thyroid disease","1","[55,60)",8065,184234,0.0437758502773647
"Cerebrovascular disease","0","[75,80)",7118,105382,0.0675447419862975
"Housebound","0","[55,60)",4640,179077,0.0259106417909614
"Polypharmacy","1","[80,120]",2890,233184,0.0123936462192946
"Cerebrovascular disease","0","[50,55)",2021,194439,0.0103940053178632
"Activity limitation","0","[80,120]",3737,151396,0.0246836111918413
"Weight loss and anorexia","1","[80,120]",10659,233184,0.0457106834088102
"Social vulnerability","0","[65,70)",1342,164562,0.00815498110134782
"Anaemia and haematinic deficiency","0","[40,45)",1083,172657,0.00627255193823592
"Foot problems","0","[65,70)",297,164562,0.00180479089947862
"Thyroid disease","1","[75,80)",6573,120407,0.0545898494273589
"Cerebrovascular disease","1","[50,55)",1558,206433,0.00754724293112051
"Social vulnerability","0","[60,65)",1060,168738,0.00628192819637545
"Atrial fibrillation","0","[80,120]",15083,151396,0.0996261460012154
"Cerebrovascular disease","1","[65,70)",3910,168324,0.0232290107174259
"Social vulnerability","0","[70,75)",1419,133029,0.0106668470784566
"Visual impairment","1","[50,55)",4080,206433,0.0197642818735377
"Cerebrovascular disease","1","[60,65)",2692,172121,0.0156401601199156
"Falls","0","[60,65)",2834,168738,0.0167952684042717
"Anaemia and haematinic deficiency","1","[45,50)",8765,206166,0.0425142846056091
"Visual impairment","0","[50,55)",3666,194439,0.018854242204496
"Hearing impairment","0","[75,80)",8892,105382,0.0843787364065969
"Thyroid disease","0","[45,50)",1450,191151,0.00758562602340558
"Urinary system disease","1","[60,65)",8599,172121,0.0499590404424794
"Visual impairment","0","[65,70)",7971,164562,0.0484376709082291
"Activity limitation","0","[70,75)",1495,133029,0.0112381510798397
"Weight loss and anorexia","1","[45,50)",1638,206166,0.00794505398562324
"Thyroid disease","0","[60,65)",2179,168738,0.0129135108867001
"Foot problems","0","[40,45)",101,172657,0.000584974834498456
"Weight loss and anorexia","0","[70,75)",2589,133029,0.019461921836592
"Requirement for care","1","[65,70)",1008,168324,0.00598845084479932
"Falls","1","[40,45)",2459,187171,0.0131377189842444
"Weight loss and anorexia","0","[50,55)",1662,194439,0.00854766790612994
"Social vulnerability","1","[60,65)",1352,172121,0.00785493925784768
"Activity limitation","1","[70,75)",1501,142086,0.0105640246048168
"Social vulnerability","1","[45,50)",1009,206166,0.00489411445146144
"Anaemia and haematinic deficiency","1","[40,45)",6947,187171,0.0371157925105919
"Mobility and transfer problems","1","[45,50)",403,206166,0.00195473550439937
"Hearing impairment","0","[60,65)",6485,168738,0.0384323625976366
"Requirement for care","0","[50,55)",864,194439,0.00444355299091232
"Hearing impairment","0","[65,70)",8739,164562,0.0531046049513253
"Requirement for care","0","[55,60)",766,179077,0.0042774895715251
"Activity limitation","0","[55,60)",528,179077,0.00294845234173009
"Requirement for care","0","[70,75)",1174,133029,0.00882514338978719
"Dizziness","0","[70,75)",9068,133029,0.0681655879545062
"Anaemia and haematinic deficiency","0","[55,60)",2785,179077,0.015551969264618
"Mobility and transfer problems","0","[75,80)",2209,105382,0.0209618340893132
"Hearing impairment","0","[45,50)",3389,191151,0.0177294390298769
"Hearing impairment","1","[55,60)",4608,184234,0.0250116699414875
"Polypharmacy","0","[60,65)",277,168738,0.00164159821735472
"Hearing impairment","0","[55,60)",5050,179077,0.0282001597078352
"Dizziness","1","[80,120]",27141,233184,0.116393062988884
"Weight loss and anorexia","1","[55,60)",1833,184234,0.00994930360302659
"Visual impairment","0","[40,45)",1779,172657,0.0103036656492352
"Weight loss and anorexia","0","[45,50)",1405,191151,0.00735021004336885
"Heart failure","0","[45,50)",454,191151,0.0023750856652594
"Polypharmacy","1","[40,45)",74,187171,0.000395360392368476
"Falls","0","[45,50)",1759,191151,0.00920214908632442
"Requirement for care","1","[55,60)",770,184234,0.00417946741643779
"Foot problems","1","[60,65)",253,172121,0.00146989617768895
"Dizziness","0","[55,60)",6795,179077,0.0379445713296515
"Thyroid disease","0","[40,45)",1079,172657,0.00624938461805777
"Mobility and transfer problems","1","[40,45)",240,187171,0.00128224992119506
"Cerebrovascular disease","0","[40,45)",589,172657,0.00341138789623357
"Activity limitation","0","[40,45)",136,172657,0.000787688886057327
"Dizziness","0","[80,120]",14977,151396,0.0989259954027848
"Polypharmacy","0","[45,50)",102,191151,0.00053360955474991
"Hearing impairment","1","[45,50)",3567,206166,0.0173015919210733
"Mobility and transfer problems","1","[65,70)",1309,168324,0.00777666880539911
"Urinary incontinence","1","[60,65)",3985,172121,0.0231523172651797
"Foot problems","0","[50,55)",149,194439,0.000766307170886499
"Foot problems","1","[50,55)",192,206433,0.000930083852872361
"Mobility and transfer problems","0","[55,60)",674,179077,0.00376374408773879
"Polypharmacy","1","[45,50)",121,206166,0.000586905697350679
"Osteoporosis","0","[45,50)",329,191151,0.00172115238737961
"Dizziness","1","[75,80)",13395,120407,0.111247684935261
"Dyspnoea","0","[80,120]",26724,151396,0.17651721313641
"Dyspnoea","0","[70,75)",14496,133029,0.108968721105924
"Dyspnoea","0","[65,70)",13518,164562,0.0821453312429358
"Fragility fracture","0","[55,60)",802,179077,0.0044785204130067
"Dyspnoea","1","[80,120]",35970,233184,0.154255866611774
"Dyspnoea","1","[75,80)",16053,120407,0.133322813457689
"Dizziness","0","[60,65)",7741,168738,0.045875854875606
"Dyspnoea","1","[45,50)",6859,206166,0.0332693072572587
"Sleep disturbance","0","[50,55)",4599,194439,0.0236526622745437
"Sleep disturbance","1","[80,120]",9817,233184,0.0420998010155071
"Sleep disturbance","1","[60,65)",5830,172121,0.0338715206163106
"Sleep disturbance","0","[55,60)",4326,179077,0.0241572061180386
"Dizziness","1","[60,65)",13105,172121,0.0761382980577617
"Hypotension / syncope","0","[45,50)",1917,191151,0.0100287207495645
"Parkinsonism and tremor","1","[70,75)",1815,142086,0.0127739538026266
"Parkinsonism and tremor","1","[65,70)",1584,168324,0.00941042275611321
"Dyspnoea","0","[50,55)",6243,194439,0.0321077561600296
"Sleep disturbance","0","[65,70)",4113,164562,0.024993619426113
"Dyspnoea","0","[60,65)",10585,168738,0.0627303867534284
"Dizziness","1","[45,50)",12446,206166,0.0603688290018723
"Hypotension / syncope","1","[45,50)",2857,206166,0.0138577651019082
"Dizziness","0","[45,50)",5237,191151,0.0273971886100517
"Dyspnoea","1","[50,55)",7977,206433,0.0386420775748064
"Dyspnoea","1","[40,45)",5391,187171,0.028802538854844
"Heart failure","1","[45,50)",204,206166,0.000989493902971392
"Parkinsonism and tremor","0","[50,55)",662,194439,0.00340466675924069
"Urinary incontinence","0","[50,55)",404,194439,0.00207777246334326
"Heart valve disease","0","[60,65)",249,168738,0.00147566049141272
"Urinary incontinence","0","[45,50)",308,191151,0.00161129159669581
"Atrial fibrillation","1","[45,50)",274,206166,0.00132902612457922
"Parkinsonism and tremor","0","[55,60)",877,179077,0.00489733466609336
"Peptic ulcer","0","[75,80)",598,105382,0.00567459338406939
"Sleep disturbance","0","[60,65)",4061,168738,0.024066896608944
"Parkinsonism and tremor","0","[40,45)",355,172657,0.00205609966581141
"Mobility and transfer problems","0","[65,70)",1298,164562,0.00788760467179543
"Parkinsonism and tremor","1","[50,55)",771,206433,0.00373486797169057
"Fragility fracture","1","[40,45)",404,187171,0.00215845403401168
"Mobility and transfer problems","0","[50,55)",476,194439,0.00244806854591929
"Heart valve disease","0","[65,70)",446,164562,0.00271022471773556
"Foot problems","0","[45,50)",98,191151,0.000512683689857756
"Heart failure","1","[40,45)",95,187171,0.000507557260473043
"Peptic ulcer","0","[40,45)",194,172657,0.0011236150286406
"Heart valve disease","1","[60,65)",159,172121,0.000923768744081199
"Peptic ulcer","1","[45,50)",227,206166,0.00110105449007111
"Heart valve disease","0","[50,55)",72,194439,0.000370296082576026
"Osteoporosis","0","[40,45)",231,172657,0.00133791274028855
"Peptic ulcer","1","[50,55)",254,206433,0.00123042343036239
"Heart valve disease","0","[40,45)",19,172657,0.000110044770846244
"Respiratory disease","1","[40,45)",19359,187171,0.103429484268396
"Respiratory disease","0","[45,50)",16730,191151,0.0875224299114313
"Skin ulcer","1","[80,120]",12029,233184,0.0515858721010018
"Ischaemic heart disease","0","[70,75)",12074,133029,0.0907621646407926
"Skin ulcer","0","[45,50)",640,191151,0.00334813838274453
"Respiratory disease","0","[70,75)",21984,133029,0.165257199557991
"Peripheral vascular disease","0","[60,65)",1373,168738,0.00813687491851272
"Hypertension","1","[60,65)",16443,172121,0.0955316318171519
"Ischaemic heart disease","1","[80,120]",17484,233184,0.0749794153972828
"Skin ulcer","0","[70,75)",2248,133029,0.0168985709882808
"Respiratory disease","1","[45,50)",22356,206166,0.108436890660924
"Diabetes","0","[50,55)",14972,194439,0.0770010131712259
"Arthritis","1","[65,70)",18893,168324,0.112241866875787
"Ischaemic heart disease","1","[60,65)",3244,172121,0.0188472063257824
"Ischaemic heart disease","0","[55,60)",6206,179077,0.0346554833954109
"Respiratory disease","1","[60,65)",24529,172121,0.142510210840049
"Skin ulcer","0","[55,60)",1201,179077,0.00670661223942773
"Arthritis","1","[70,75)",18631,142086,0.131124811733739
"Arthritis","1","[45,50)",5803,206166,0.0281472211712892
"Diabetes","1","[80,120]",33058,233184,0.141767874296693
"Hypertension","0","[50,55)",16996,194439,0.0874104474925298
"Skin ulcer","0","[50,55)",953,194439,0.00490128009298546
"Respiratory disease","0","[60,65)",19657,168738,0.116494209958634
"Skin ulcer","1","[45,50)",546,206166,0.00264835132854108
"Ischaemic heart disease","0","[45,50)",1869,191151,0.00977761037085864
"Hypertension","0","[70,75)",17154,133029,0.128949326838509
