"category","is_female","age_group","total","n","prop"
"Anaemia and haematinic deficiency","1","[75,80)",3052,31970,0.0954644979668439
"Cerebrovascular disease","1","[75,80)",2022,31970,0.0632467938692524
"Cerebrovascular disease","0","[80,120]",5217,43290,0.120512820512821
"Visual impairment","1","[75,80)",4190,31970,0.131060369096028
"Housebound","1","[70,75)",2213,37439,0.0591094847618793
"Anaemia and haematinic deficiency","1","[80,120]",8896,64298,0.138355780895207
"Social vulnerability","1","[65,70)",898,41309,0.0217386041782662
"Heart failure","1","[80,120]",3495,64298,0.0543562785778718
"Chronic kidney disease","0","[60,65)",4041,46881,0.0861969667882511
"Thyroid disease","1","[65,70)",3060,41309,0.0740758672444261
"Housebound","0","[70,75)",1985,36252,0.0547555996910515
"Anaemia and haematinic deficiency","1","[60,65)",2050,43894,0.0467034218799836
"Cerebrovascular disease","0","[65,70)",1712,43151,0.0396746309471391
"Social vulnerability","0","[45,50)",580,56112,0.0103364699173082
"Weight loss and anorexia","1","[65,70)",773,41309,0.0187126292091312
"Social vulnerability","1","[50,55)",761,53701,0.0141710582670714
"Memory and cognitive problems","0","[75,80)",1940,29396,0.0659953735202068
"Social vulnerability","0","[55,60)",807,52084,0.0154942016742186
"Foot problems","0","[80,120]",332,43290,0.00766920766920767
"Weight loss and anorexia","0","[55,60)",692,52084,0.0132862299362568
"Falls","1","[55,60)",1259,48163,0.0261403982310072
"Heart failure","0","[65,70)",972,43151,0.0225255498134458
"Anaemia and haematinic deficiency","0","[70,75)",2650,36252,0.0730994152046784
"Heart failure","0","[75,80)",1482,29396,0.0504150224520343
"Cerebrovascular disease","0","[60,65)",1283,46881,0.0273671636697169
"Housebound","0","[65,70)",1362,43151,0.0315635790595815
"Cerebrovascular disease","1","[70,75)",1565,37439,0.041801330163733
"Memory and cognitive problems","0","[70,75)",1260,36252,0.0347567030784508
"Visual impairment","0","[45,50)",776,56112,0.0138294838893641
"Cerebrovascular disease","0","[45,50)",396,56112,0.00705731394354149
"Heart failure","1","[75,80)",865,31970,0.0270566155771035
"Housebound","1","[50,55)",701,53701,0.0130537606376045
"Visual impairment","1","[45,50)",806,51796,0.0155610471851108
"Falls","0","[65,70)",1430,43151,0.0331394405691641
"Weight loss and anorexia","0","[60,65)",791,46881,0.0168725069857725
"Visual impairment","1","[65,70)",2462,41309,0.059599602992084
"Thyroid disease","1","[55,60)",2941,48163,0.0610634719598032
"Social vulnerability","0","[60,65)",802,46881,0.0171071436189501
"Memory and cognitive problems","1","[75,80)",2224,31970,0.0695652173913043
"Social vulnerability","0","[70,75)",871,36252,0.0240262606201037
"Chronic kidney disease","0","[40,45)",2250,56050,0.04014272970562
"Anaemia and haematinic deficiency","0","[50,55)",1087,56983,0.0190758647315866
"Dizziness","0","[70,75)",2150,36252,0.0593070727132296
"Activity limitation","1","[75,80)",154,31970,0.00481701595245543
"Chronic kidney disease","0","[50,55)",3379,56983,0.0592983872382991
"Requirement for care","0","[70,75)",583,36252,0.0160818713450292
"Polypharmacy","0","[80,120]",277,43290,0.0063987063987064
"Anaemia and haematinic deficiency","1","[65,70)",2380,41309,0.0576145634123315
"Housebound","0","[45,50)",389,56112,0.00693256344453949
"Falls","0","[40,45)",368,56050,0.00656556645851918
"Polypharmacy","0","[75,80)",148,29396,0.00503469859844877
"Hearing impairment","1","[65,70)",1780,41309,0.0430898835604832
"Social vulnerability","1","[40,45)",560,51159,0.0109462655642213
"Social vulnerability","1","[60,65)",804,43894,0.0183168542397594
"Weight loss and anorexia","1","[50,55)",655,53701,0.0121971657883466
"Activity limitation","1","[70,75)",148,37439,0.00395309703784823
"Weight loss and anorexia","0","[50,55)",633,56983,0.0111085762420371
"Hearing impairment","0","[55,60)",1320,52084,0.0253436756009523
"Visual impairment","0","[70,75)",2841,36252,0.0783680900364118
"Weight loss and anorexia","0","[70,75)",917,36252,0.025295156129317
"Urinary incontinence","1","[80,120]",3910,64298,0.0608106006407664
"Falls","1","[60,65)",1408,43894,0.0320772770765936
"Social vulnerability","0","[40,45)",517,56050,0.00922390722569135
"Visual impairment","0","[75,80)",3448,29396,0.117294870050347
"Dizziness","0","[80,120]",3874,43290,0.0894894894894895
"Dizziness","1","[75,80)",3246,31970,0.101532686893963
"Urinary system disease","1","[65,70)",2181,41309,0.0527972112614684
"Activity limitation","1","[40,45)",23,51159,0.000449578764244805
"Weight loss and anorexia","0","[40,45)",446,56050,0.00795718108831401
"Foot problems","1","[70,75)",121,37439,0.00323192392959214
"Thyroid disease","0","[80,120]",1720,43290,0.0397320397320397
"Atrial fibrillation","0","[55,60)",790,52084,0.0151678058520851
"Heart failure","0","[40,45)",98,56050,0.00174843889384478
"Hearing impairment","0","[50,55)",1010,56983,0.0177245845252093
"Urinary system disease","1","[45,50)",2111,51796,0.0407560429376786
"Requirement for care","0","[60,65)",384,46881,0.00819095155820055
"Thyroid disease","0","[45,50)",559,56112,0.00996221842030225
"Housebound","1","[55,60)",803,48163,0.0166725494674335
"Atrial fibrillation","1","[60,65)",555,43894,0.0126440971431175
"Falls","0","[50,55)",608,56983,0.0106698489023042
"Falls","1","[40,45)",579,51159,0.0113176567172931
"Thyroid disease","1","[60,65)",2910,43894,0.0662960769125621
"Falls","1","[45,50)",767,51796,0.0148080932890571
"Housebound","0","[40,45)",240,56050,0.00428189116859946
"Urinary system disease","1","[40,45)",1932,51159,0.0377646161965637
"Heart failure","1","[55,60)",221,48163,0.0045885845981355
"Activity limitation","1","[65,70)",146,41309,0.00353433876394974
"Visual impairment","1","[55,60)",1316,48163,0.0273238793264539
"Weight loss and anorexia","1","[55,60)",689,48163,0.0143055872765401
"Mobility and transfer problems","0","[75,80)",954,29396,0.0324533950197306
"Atrial fibrillation","1","[45,50)",73,51796,0.00140937524133138
"Foot problems","0","[55,60)",69,52084,0.00132478304277705
"Cerebrovascular disease","1","[45,50)",306,51796,0.00590779210749865
"Mobility and transfer problems","0","[80,120]",3154,43290,0.0728574728574729
"Urinary incontinence","1","[40,45)",837,51159,0.0163607576379523
"Peripheral vascular disease","1","[60,65)",143,43894,0.00325784845309154
"Hearing impairment","0","[60,65)",1751,46881,0.0373498858812739
"Polypharmacy","1","[80,120]",363,64298,0.00564558773212231
"Heart failure","0","[55,60)",516,52084,0.00990707318946317
"Urinary system disease","1","[60,65)",2063,43894,0.0469995899211737
"Activity limitation","1","[55,60)",76,48163,0.00157797479392895
"Thyroid disease","0","[50,55)",676,56983,0.0118631872663777
"Urinary incontinence","0","[45,50)",103,56112,0.00183561448531508
"Requirement for care","1","[55,60)",292,48163,0.00606274526088491
"Urinary incontinence","1","[75,80)",1210,31970,0.0378479824835784
"Memory and cognitive problems","0","[55,60)",297,52084,0.00570232701021427
"Polypharmacy","1","[60,65)",55,43894,0.00125301863580444
"Memory and cognitive problems","1","[60,65)",421,43894,0.00959128810315761
"Polypharmacy","0","[55,60)",26,52084,0.000499193610321788
"Activity limitation","0","[65,70)",194,43151,0.00449584018910338
"Osteoporosis","0","[45,50)",139,56112,0.00247718848018249
"Polypharmacy","0","[50,55)",9,56983,0.000157941842303845
"Atrial fibrillation","0","[50,55)",523,56983,0.00917817594721233
"Thyroid disease","0","[70,75)",849,36252,0.02341939755048
"Thyroid disease","0","[55,60)",766,52084,0.0147070117502496
"Memory and cognitive problems","1","[45,50)",153,51796,0.00295389605374932
"Osteoporosis","0","[50,55)",182,56983,0.00319393503325553
"Foot problems","0","[65,70)",95,43151,0.00220157122662279
"Activity limitation","0","[60,65)",116,46881,0.00247434994987308
"Urinary system disease","1","[75,80)",2455,31970,0.0767907413199875
"Osteoporosis","1","[40,45)",201,51159,0.00392892746144373
"Osteoporosis","0","[70,75)",557,36252,0.0153646695354739
"Activity limitation","1","[50,55)",64,53701,0.00119178413809799
"Memory and cognitive problems","0","[45,50)",140,56112,0.00249500998003992
"Foot problems","1","[45,50)",71,51796,0.00137076222102093
"Hearing impairment","1","[50,55)",1052,53701,0.0195899517699857
"Foot problems","0","[60,65)",95,46881,0.00202640728653399
"Cerebrovascular disease","0","[40,45)",200,56050,0.00356824264049955
"Foot problems","0","[50,55)",72,56983,0.00126353473843076
"Activity limitation","1","[45,50)",43,51796,0.000830179936674647
"Dizziness","0","[55,60)",1606,52084,0.030834805314492
"Foot problems","0","[70,75)",101,36252,0.00278605318327265
"Memory and cognitive problems","1","[55,60)",317,48163,0.00658181591678259
"Polypharmacy","1","[55,60)",41,48163,0.000851275875672197
"Urinary incontinence","1","[60,65)",970,43894,0.0220986923041874
"Dizziness","1","[40,45)",2610,51159,0.0510174162903888
"Memory and cognitive problems","1","[50,55)",253,53701,0.0047112716709186
"Dizziness","1","[60,65)",3033,43894,0.0690982822253611
"Foot problems","0","[45,50)",50,56112,0.0008910749928714
"Polypharmacy","1","[45,50)",8,51796,0.000154452081241795
"Foot problems","1","[50,55)",80,53701,0.00148973017262248
"Activity limitation","0","[40,45)",31,56050,0.000553077609277431
"Heart failure","1","[45,50)",70,51796,0.0013514557108657
"Polypharmacy","1","[50,55)",18,53701,0.000335189288840059
"Atrial fibrillation","0","[45,50)",264,56112,0.00470487596236099
"Mobility and transfer problems","0","[50,55)",192,56983,0.00336942596914869
"Parkinsonism and tremor","0","[75,80)",828,29396,0.0281670975642945
"Dyspnoea","0","[80,120]",7429,43290,0.171610071610072
"Dyspnoea","0","[65,70)",3586,43151,0.0831035201965192
"Sleep disturbance","1","[65,70)",1014,41309,0.0245467089496236
"Dizziness","1","[55,60)",2956,48163,0.0613749143533418
"Parkinsonism and tremor","0","[80,120]",1368,43290,0.0316008316008316
"Dyspnoea","1","[50,55)",2325,53701,0.0432952831418409
"Urinary incontinence","0","[75,80)",457,29396,0.0155463328343992
"Sleep disturbance","0","[70,75)",796,36252,0.0219574092463864
"Parkinsonism and tremor","0","[50,55)",169,56983,0.00296579681659442
"Peripheral vascular disease","0","[75,80)",423,29396,0.014389712886107
"Parkinsonism and tremor","0","[70,75)",683,36252,0.018840339843319
"Sleep disturbance","0","[45,50)",1024,56112,0.0182492158540063
"Osteoporosis","1","[50,55)",710,53701,0.0132213552820245
"Dyspnoea","0","[55,60)",2419,52084,0.0464442055141694
"Sleep disturbance","1","[50,55)",1545,53701,0.0287704139587717
"Peripheral vascular disease","0","[65,70)",410,43151,0.00950151792542467
"Parkinsonism and tremor","1","[70,75)",526,37439,0.0140495205534336
"Heart valve disease","1","[70,75)",155,37439,0.00414006784369241
"Dizziness","0","[50,55)",1519,56983,0.0266570731621712
"Peptic ulcer","1","[80,120]",539,64298,0.008382842390121
"Sleep disturbance","0","[80,120]",1392,43290,0.0321552321552322
"Dyspnoea","1","[45,50)",1886,51796,0.0364120781527531
"Dyspnoea","1","[55,60)",2561,48163,0.0531735979901584
"Heart valve disease","0","[75,80)",328,29396,0.0111579806776432
"Fragility fracture","1","[60,65)",705,43894,0.0160614206953114
"Sleep disturbance","0","[65,70)",811,43151,0.0187944659451693
"Peripheral vascular disease","0","[50,55)",103,56983,0.00180755663969956
"Peptic ulcer","1","[60,65)",141,43894,0.00321228413906229
"Hypotension / syncope","1","[70,75)",1131,37439,0.0302091402013943
"Sleep disturbance","0","[50,55)",991,56983,0.0173911517470123
"Peptic ulcer","1","[75,80)",210,31970,0.00656865811698467
"Peripheral vascular disease","1","[70,75)",214,37439,0.00571596463580758
"Heart valve disease","0","[65,70)",163,43151,0.00377743273620542
"Fragility fracture","1","[45,50)",178,51796,0.00343655880762993
"Parkinsonism and tremor","0","[45,50)",131,56112,0.00233461648132307
"Urinary incontinence","0","[60,65)",196,46881,0.00418079819116486
"Sleep disturbance","1","[40,45)",1170,51159,0.0228698762681053
"Sleep disturbance","0","[75,80)",723,29396,0.0245951830180977
"Sleep disturbance","1","[60,65)",1127,43894,0.0256754909554837
"Dyspnoea","0","[50,55)",1927,56983,0.0338171033466121
"Peripheral vascular disease","1","[80,120]",727,64298,0.0113067280475287
"Heart valve disease","1","[75,80)",230,31970,0.00719424460431655
"Sleep disturbance","1","[55,60)",1384,48163,0.0287357515104956
"Urinary incontinence","1","[50,55)",1157,53701,0.0215452226215527
"Peptic ulcer","1","[50,55)",106,53701,0.00197389247872479
"Parkinsonism and tremor","1","[65,70)",388,41309,0.00939262630419521
"Hypotension / syncope","0","[45,50)",548,56112,0.00976618192187054
"Dyspnoea","1","[40,45)",1607,51159,0.0314118727887566
"Mobility and transfer problems","0","[60,65)",429,46881,0.00915082869392718
"Atrial fibrillation","1","[40,45)",43,51159,0.000840516820109854
"Mobility and transfer problems","1","[50,55)",235,53701,0.00437608238207855
"Mobility and transfer problems","1","[55,60)",297,48163,0.00616655939206445
"Urinary incontinence","0","[55,60)",166,52084,0.00318715920436218
"Heart valve disease","0","[45,50)",15,56112,0.00026732249786142
"Heart valve disease","1","[65,70)",107,41309,0.00259023457357961
"Peripheral vascular disease","1","[40,45)",10,51159,0.000195469027932524
"Fragility fracture","1","[40,45)",124,51159,0.0024238159463633
"Parkinsonism and tremor","1","[40,45)",112,51159,0.00218925311284427
"Mobility and transfer problems","1","[45,50)",121,51796,0.00233608772878215
"Peptic ulcer","1","[65,70)",144,41309,0.00348592316444358
"Mobility and transfer problems","0","[45,50)",119,56112,0.00212075848303393
"Parkinsonism and tremor","1","[60,65)",283,43894,0.0064473504351392
"Heart valve disease","0","[70,75)",214,36252,0.00590312258634006
"Heart valve disease","0","[60,65)",100,46881,0.00213306030161473
"Urinary incontinence","0","[40,45)",73,56050,0.00130240856378234
"Peptic ulcer","0","[55,60)",179,52084,0.00343675600952308
"Memory and cognitive problems","1","[40,45)",109,51159,0.00213061240446451
"Skin ulcer","1","[40,45)",105,51159,0.0020524247932915
"Peptic ulcer","0","[50,55)",150,56983,0.00263236403839742
"Peripheral vascular disease","1","[45,50)",29,51796,0.000559888794501506
"Heart valve disease","0","[55,60)",60,52084,0.00115198525458874
"Peripheral vascular disease","0","[45,50)",55,56112,0.00098018249215854
"Heart valve disease","1","[60,65)",45,43894,0.00102519706565818
"Parkinsonism and tremor","1","[45,50)",135,51796,0.00260637887095529
"Heart valve disease","1","[50,55)",22,53701,0.000409675797471183
"Mobility and transfer problems","0","[40,45)",90,56050,0.0016057091882248
"Polypharmacy","1","[40,45)",9,51159,0.000175922125139272
"Foot problems","0","[40,45)",50,56050,0.000892060660124889
"Polypharmacy","0","[40,45)",6,56050,0.000107047279214987
"Heart valve disease","1","[55,60)",26,48163,0.000539833482133588
"Peripheral vascular disease","0","[40,45)",16,56050,0.000285459411239964
"Heart valve disease","1","[40,45)",6,51159,0.000117281416759514
"Respiratory disease","1","[75,80)",6227,31970,0.194776352830779
"Ischaemic heart disease","1","[80,120]",7804,64298,0.121372359948988
"Respiratory disease","0","[40,45)",4267,56050,0.076128456735058
"Respiratory disease","1","[40,45)",5483,51159,0.107175668015403
"Ischaemic heart disease","0","[55,60)",2202,52084,0.0422778588434068
"Respiratory disease","0","[50,55)",5223,56983,0.091658915816998
"Respiratory disease","1","[65,70)",7000,41309,0.169454598271563
"Respiratory disease","1","[50,55)",6631,53701,0.123480009683246
"Skin ulcer","1","[60,65)",338,43894,0.00770036907094364
"Respiratory disease","0","[75,80)",5754,29396,0.195740917131583
"Skin ulcer","0","[40,45)",164,56050,0.00292595896520963
"Hypertension","0","[65,70)",12153,43151,0.281638895969966
"Ischaemic heart disease","0","[70,75)",4738,36252,0.130696237448968
"Respiratory disease","1","[60,65)",6702,43894,0.152686016312024
"Ischaemic heart disease","0","[80,120]",8838,43290,0.204158004158004
"Arthritis","1","[80,120]",13750,64298,0.213848020156148
"Skin ulcer","1","[80,120]",3953,64298,0.061479361721982
"Respiratory disease","0","[70,75)",6418,36252,0.177038508220236
"Diabetes","1","[65,70)",5262,41309,0.127381442300709
"Urinary system disease","0","[70,75)",5216,36252,0.143881716870793
"Skin ulcer","0","[80,120]",2269,43290,0.0524139524139524
"Hypertension","0","[45,50)",5066,56112,0.0902837182777303
"Arthritis","1","[70,75)",6963,37439,0.185982531584711
"Skin ulcer","1","[70,75)",658,37439,0.0175752557493523
"Skin ulcer","1","[75,80)",903,31970,0.0282452299030341
"Hypertension","1","[75,80)",12023,31970,0.376071316859556
"Arthritis","0","[65,70)",5905,43151,0.13684503256008
"Diabetes","0","[65,70)",7755,43151,0.179717735394313
"Hypertension","0","[75,80)",10178,29396,0.346237583344673
"Fragility fracture","1","[80,120]",5751,64298,0.0894429064667641
"Respiratory disease","1","[45,50)",6164,51796,0.119005328596803
"Diabetes","0","[75,80)",6813,29396,0.23176622669751
"Ischaemic heart disease","0","[60,65)",3066,46881,0.0653996288475075
"Respiratory disease","0","[60,65)",5759,46881,0.122842942769992
"Hypertension","0","[60,65)",10851,46881,0.231458373328214
"Respiratory disease","0","[65,70)",6292,43151,0.145813538504322
"Urinary system disease","0","[80,120]",9144,43290,0.211226611226611
"Hypertension","1","[55,60)",7452,48163,0.154724581109981
"Hypertension","1","[70,75)",12051,37439,0.321883597318304
"Diabetes","1","[80,120]",10812,64298,0.168154530467511
"Hypertension","0","[55,60)",9556,52084,0.1834728515475
"Arthritis","1","[75,80)",6790,31970,0.212386612449171
"Arthritis","1","[50,55)",3472,53701,0.0646542894918158
"Arthritis","1","[55,60)",4548,48163,0.0944293337209061
"Arthritis","1","[60,65)",5636,43894,0.128400236934433
"Skin ulcer","0","[55,60)",453,52084,0.008697488672145
"Hypotension / syncope","1","[80,120]",4439,64298,0.0690379171980466
"Ischaemic heart disease","1","[75,80)",2692,31970,0.0842039411948702
"Hypertension","0","[50,55)",7809,56983,0.13704087183897
"Arthritis","0","[45,50)",2331,56112,0.0415419161676647
"Fragility fracture","1","[75,80)",1525,31970,0.0477009696590554
"Arthritis","0","[60,65)",5226,46881,0.111473731362386
"Ischaemic heart disease","1","[45,50)",191,51796,0.00368754343964785
"Ischaemic heart disease","1","[55,60)",711,48163,0.01476236945373
"Peptic ulcer","1","[70,75)",187,37439,0.00499479152755148
"Ischaemic heart disease","1","[60,65)",1105,43894,0.0251742835011619
"Skin ulcer","1","[50,55)",204,53701,0.00379881194018733
"Hypertension","1","[40,45)",2238,51159,0.0437459684512989
"Diabetes","0","[60,65)",7155,46881,0.152620464580534
"Arthritis","0","[40,45)",1594,56050,0.0284388938447814
"Diabetes","1","[70,75)",5734,37439,0.153155800101498
"Heart failure","1","[60,65)",309,43894,0.00703968651751948
"Hypotension / syncope","1","[75,80)",1245,31970,0.0389427588364091
"Hypertension","0","[40,45)",2956,56050,0.0527386262265834
"Osteoporosis","1","[75,80)",3341,31970,0.104504222708789
"Arthritis","0","[70,75)",5798,36252,0.15993600353084
"Ischaemic heart disease","0","[45,50)",698,56112,0.0124394069004847
"Diabetes","0","[40,45)",2354,56050,0.0419982158786798
"Hearing impairment","1","[80,120]",8219,64298,0.127826682011882
"Hearing impairment","0","[80,120]",6053,43290,0.13982443982444
"Osteoporosis","1","[80,120]",7333,64298,0.114047093222184
"Peripheral vascular disease","0","[60,65)",306,46881,0.00652716452294106
"Hypotension / syncope","0","[75,80)",1411,29396,0.0479997278541298
"Diabetes","0","[45,50)",3702,56112,0.0659751924721985
"Fragility fracture","0","[50,55)",230,56983,0.00403629152554271
"Peripheral vascular disease","1","[50,55)",43,53701,0.000800729967784585
"Hypotension / syncope","0","[70,75)",1181,36252,0.0325775129648019
"Peripheral vascular disease","0","[70,75)",446,36252,0.0123027695023723
"Hearing impairment","1","[55,60)",1197,48163,0.024853103004381
"Fragility fracture","0","[80,120]",1516,43290,0.035019635019635
"Urinary incontinence","1","[70,75)",1090,37439,0.0291140254814498
"Fragility fracture","0","[40,45)",150,56050,0.00267618198037467
"Peripheral vascular disease","0","[55,60)",208,52084,0.0039935488825743
"Peptic ulcer","0","[80,120]",603,43290,0.0139293139293139
"Ischaemic heart disease","0","[40,45)",262,56050,0.00467439785905442
"Atrial fibrillation","1","[50,55)",180,53701,0.00335189288840059
"Hearing impairment","1","[60,65)",1409,43894,0.0321000592336082
"Skin ulcer","1","[45,50)",118,51796,0.00227816819831647
"Urinary system disease","0","[55,60)",2898,52084,0.0556408877966362
"Fragility fracture","0","[65,70)",320,43151,0.00741581886862413
"Fragility fracture","1","[55,60)",521,48163,0.0108174324689077
"Hypotension / syncope","1","[65,70)",893,41309,0.0216175651795008
"Mobility and transfer problems","1","[80,120]",5353,64298,0.0832529783196989
"Hypotension / syncope","1","[60,65)",803,43894,0.0182940720827448
"Hearing impairment","0","[65,70)",2350,43151,0.0544599198164585
"Osteoporosis","1","[55,60)",1293,48163,0.0268463343230281
"Heart failure","0","[60,65)",756,46881,0.0161259358802073
"Social vulnerability","0","[75,80)",1056,29396,0.0359232548646074
"Chronic kidney disease","1","[70,75)",5643,37439,0.150725179625524
"Requirement for care","0","[80,120]",2683,43290,0.061977361977362
"Chronic kidney disease","1","[65,70)",4958,41309,0.120022271175773
"Falls","1","[80,120]",14642,64298,0.22772092444555
"Housebound","0","[80,120]",9589,43290,0.221506121506122
"Anaemia and haematinic deficiency","1","[50,55)",3345,53701,0.0622893428427776
"Memory and cognitive problems","0","[80,120]",6137,43290,0.141764841764842
"Social vulnerability","1","[55,60)",751,48163,0.0155928825031663
"Memory and cognitive problems","0","[65,70)",753,43151,0.0174503487752312
"Chronic kidney disease","0","[55,60)",3731,52084,0.0716342830811766
"Chronic kidney disease","1","[80,120]",17519,64298,0.272465706553859
"Falls","1","[75,80)",3673,31970,0.114888958398499
"Anaemia and haematinic deficiency","1","[70,75)",2684,37439,0.0716899489836801
"Chronic kidney disease","1","[55,60)",3969,48163,0.0824076573303158
"Cerebrovascular disease","0","[70,75)",2178,36252,0.0600794438927507
"Requirement for care","1","[80,120]",5548,64298,0.0862857320600952
"Chronic kidney disease","0","[45,50)",2772,56112,0.0494011976047904
"Chronic kidney disease","1","[40,45)",2817,51159,0.055063625168592
"Memory and cognitive problems","1","[65,70)",659,41309,0.01595294003728
"Anaemia and haematinic deficiency","0","[55,60)",1413,52084,0.0271292527455649
