"category","is_female","age_group","total","n","prop"
"Anemia","0","[65,70)",2798,164562,0.0170027102247177
"Chronpain","0","[75,80)",7893,105382,0.0748989390977586
"Fatigue","1","[80,120]",21977,233184,0.0942474612323315
"HTN","1","[80,120]",9102,233184,0.039033552902429
"Lung","0","[50,55)",4297,194439,0.0220994759281831
"Chronpain","0","[70,75)",9103,133029,0.0684286884814589
"Lung","0","[60,65)",6682,168738,0.0395998530265856
"Hearing","0","[65,70)",5013,164562,0.0304626827578663
"AFIB","1","[50,55)",339,206433,0.00164217930272776
"CAD","1","[50,55)",767,206433,0.00371549122475573
"Incont","0","[55,60)",716,179077,0.00399828006946732
"Anemia","0","[70,75)",3293,133029,0.0247540010072992
"Thyroid","1","[80,120]",5189,233184,0.022252813229038
"Chronpain","0","[80,120]",11474,151396,0.0757879996829507
"Vision","1","[75,80)",3173,120407,0.0263522884882108
"Depress","1","[65,70)",3970,168324,0.0235854661248544
"Lung","0","[55,60)",5188,179077,0.0289707779335146
"Muscular","0","[65,70)",972,164562,0.00590658839829365
"Diabetes","0","[70,75)",8104,133029,0.0609190477264356
"Fatigue","1","[60,65)",10220,172121,0.0593768337390557
"Lung","1","[45,50)",5289,206166,0.0256540845726259
"Depress","1","[55,60)",7390,184234,0.0401120314382796
"Vision","0","[60,65)",1530,168738,0.0090673114532589
"CAD","0","[75,80)",3569,105382,0.0338672638591031
"PVD","1","[50,55)",1688,206433,0.00817698720650284
"Lung","0","[45,50)",3780,191151,0.0197749423230849
"HF","1","[40,45)",52,187171,0.000277820816258929
"Anemia","1","[70,75)",3626,142086,0.0255197556409498
"Anemia","1","[65,70)",2848,168324,0.0169197500059409
"HF","1","[80,120]",7053,233184,0.0302465006175381
"PVD","0","[70,75)",4244,133029,0.0319028181825016
"Lung","1","[80,120]",11489,233184,0.0492701042953204
"Diabetes","0","[60,65)",8736,168738,0.0517725704939018
"Dementia","1","[65,70)",2304,168324,0.0136878876452556
"Hearing","1","[45,50)",2024,206166,0.00981733166477499
"PD","0","[60,65)",1336,168738,0.00791760006637509
"Incont","1","[70,75)",3668,142086,0.0258153512661346
"Lung","1","[50,55)",5972,206433,0.0289294831737174
"Liver","1","[60,65)",813,172121,0.00472342131407556
"Anxiety","0","[60,65)",1814,168738,0.0107503941020991
"Cancer","1","[70,75)",4296,142086,0.0302352096617542
"Fatigue","0","[70,75)",5872,133029,0.0441407512647618
"PVD","0","[45,50)",1059,191151,0.00554012273019759
"PVD","1","[80,120]",8967,233184,0.0384546109510086
"Anxiety","1","[60,65)",3519,172121,0.0204449195624009
"CVA","1","[80,120]",7122,233184,0.0305424042815974
"Muscular","0","[55,60)",676,179077,0.0037749124678211
"PVD","0","[80,120]",7270,151396,0.0480197627414198
"Cancer","1","[80,120]",9899,233184,0.0424514546452587
"Cancer","1","[60,65)",2851,172121,0.0165639288639968
"Anemia","1","[75,80)",4505,120407,0.0374147682443712
"Arthritis","0","[45,50)",6809,191151,0.035621053512668
"PVD","1","[70,75)",2871,142086,0.0202060723787002
"Diabetes","1","[40,45)",1840,187171,0.0098305827291621
"Dementia","0","[75,80)",4756,105382,0.0451310470478829
"Arthritis","1","[40,45)",2784,187171,0.0148740990858627
"Lung","0","[40,45)",2948,172657,0.0170743149713015
"Anxiety","1","[70,75)",2576,142086,0.0181298650113312
"PVD","0","[40,45)",780,172657,0.00451762743474055
"Kidney","1","[75,80)",9731,120407,0.0808175604408382
"Depress","0","[75,80)",1476,105382,0.0140061870148602
"CAD","1","[70,75)",2023,142086,0.0142378559463987
"Thyroid","1","[70,75)",3110,142086,0.021888152245823
"Anxiety","0","[55,60)",2136,179077,0.0119278299279081
"Hearing","0","[55,60)",2950,179077,0.0164733606214087
"HF","0","[80,120]",6464,151396,0.0426959761156173
"Anxiety","0","[50,55)",2590,194439,0.0133203729704432
"AFIB","0","[75,80)",4831,105382,0.0458427435425405
"Dementia","0","[60,65)",2276,168738,0.013488366580142
"Muscular","0","[70,75)",1155,133029,0.0086823173894414
"Diabetes","0","[65,70)",9281,164562,0.0563981964244479
"HTN","1","[50,55)",7102,206433,0.0344034141828099
"HF","0","[75,80)",2605,105382,0.0247195915811049
"Anemia","1","[50,55)",4244,206433,0.0205587284978661
"Fatigue","0","[60,65)",6296,168738,0.0373122829475281
"CVA","1","[55,60)",829,184234,0.00449971232237263
"Diabetes","0","[45,50)",4808,191151,0.0251528896003683
"AFIB","0","[50,55)",972,194439,0.00499899711477636
"Cancer","1","[55,60)",2323,184234,0.0126089646862143
"CAD","0","[40,45)",523,172657,0.00302912711329399
"Lung","1","[70,75)",8923,142086,0.0627999943696071
"Osteo","0","[60,65)",545,168738,0.00322985930851379
"Hearing","1","[60,65)",3049,172121,0.0177142823943621
"AFIB","1","[65,70)",1917,168324,0.0113887502673416
"Osteo","1","[70,75)",4842,142086,0.0340779527891559
"Diabetes","1","[45,50)",3074,206166,0.0149103149888924
"Cancer","1","[50,55)",1905,206433,0.00922817572771795
"Hearing","1","[55,60)",2621,184234,0.0142264728551733
"PD","1","[45,50)",709,206166,0.00343897635885646
"CVA","1","[60,65)",1112,172121,0.00646057134225341
"PD","1","[65,70)",1708,168324,0.0101470972647988
"Muscular","0","[40,45)",384,172657,0.00222406273710304
"Anxiety","0","[70,75)",1090,133029,0.00819370212510054
"Thyroid","1","[45,50)",3797,206166,0.0184171977920705
"Incont","1","[65,70)",3613,168324,0.0214645564506547
"Kidney","1","[50,55)",1897,206433,0.00918942223384827
"Cancer","0","[40,45)",543,172657,0.00314496371418477
"Osteo","0","[75,80)",867,105382,0.00822721147824107
"CVA","0","[40,45)",267,172657,0.00154641862189196
"Anemia","0","[55,60)",1409,179077,0.00786812376798807
"Liver","1","[45,50)",520,206166,0.00252223936051531
"PD","1","[60,65)",1159,172121,0.00673363505905729
"Muscular","1","[70,75)",1126,142086,0.00792477795138156
"CVA","0","[55,60)",1192,179077,0.00665635452905733
"CVA","1","[75,80)",2381,120407,0.0197745978223857
"Liver","1","[65,70)",767,168324,0.00455668829162805
"Muscular","1","[60,65)",776,172121,0.00450845626042145
"CVA","0","[45,50)",470,191151,0.00245878912482802
"CVA","1","[50,55)",648,206433,0.00313903300344422
"PerNeuro","1","[50,55)",94,206433,0.00045535355296876
"Cancer","1","[40,45)",755,187171,0.00403374454375945
"Osteo","1","[45,50)",380,206166,0.00184317491729965
"PerNeuro","1","[80,120]",264,233184,0.00113215314944422
"Osteo","1","[55,60)",2011,184234,0.0109154662005927
"Thyroid","0","[75,80)",1176,105382,0.0111594010362301
"CVA","0","[75,80)",2567,105382,0.0243589986904784
"Liver","1","[75,80)",425,120407,0.00352969511739351
"HF","1","[55,60)",285,184234,0.00154694573205814
"CAD","1","[40,45)",157,187171,0.000838805156781766
"PerNeuro","0","[80,120]",265,151396,0.00175037649607651
"PerNeuro","1","[40,45)",30,187171,0.000160281240149382
"HF","1","[60,65)",463,172121,0.00268996810383393
"PD","1","[50,55)",825,206433,0.00399645405531092
"Liver","0","[65,70)",966,164562,0.00587012797608196
"PD","0","[45,50)",543,191151,0.00284068615910981
"Anemia","0","[45,50)",684,191151,0.00357832289655822
"Osteo","0","[45,50)",194,191151,0.00101490444726944
"Muscular","1","[55,60)",764,184234,0.00414690013786815
"PerNeuro","1","[45,50)",46,206166,0.000223121174199432
"Liver","0","[75,80)",407,105382,0.00386213964434154
"PerNeuro","0","[50,55)",117,194439,0.000601731134186043
"HF","0","[50,55)",451,194439,0.00231949351724705
"PerNeuro","0","[40,45)",36,172657,0.00020850588160341
"AFIB","1","[40,45)",72,187171,0.000384674976358517
"Falls","1","[70,75)",7931,142086,0.0558183072223864
"Falls","0","[75,80)",5727,105382,0.0543451443320491
"WgtLoss","1","[80,120]",5779,233184,0.0247830039796899
"WgtLoss","0","[65,70)",1477,164562,0.00897534060111083
"Falls","1","[80,120]",40121,233184,0.172057259503225
"WgtLoss","1","[70,75)",1726,142086,0.0121475725968779
"WgtLoss","1","[65,70)",1457,168324,0.00865592547705615
"Falls","0","[40,45)",1529,172657,0.0088557081381004
"Falls","1","[65,70)",6560,168324,0.0389724578788527
"WgtLoss","0","[50,55)",1012,194439,0.00520471716065193
"Falls","1","[75,80)",10385,120407,0.0862491383391331
"WgtLoss","0","[40,45)",671,172657,0.00388631795988579
"Falls","0","[55,60)",2533,179077,0.0141447533742468
"WgtLoss","1","[75,80)",2099,120407,0.0174325412974329
"Falls","0","[50,55)",2306,194439,0.0118597606447266
"WgtLoss","0","[80,120]",3880,151396,0.0256281539802901
"WgtLoss","1","[60,65)",1178,172121,0.00684402251904184
"WgtLoss","0","[70,75)",1547,133029,0.0116290432913124
"Falls","1","[60,65)",5538,172121,0.0321750396523376
"GaitAb","0","[75,80)",341,105382,0.00323584672904291
"WgtLoss","1","[50,55)",1003,206433,0.00485871929391134
"GaitAb","1","[60,65)",155,172121,0.000900529278821294
"Kidney","1","[65,70)",5989,168324,0.0355801905848245
"Incont","1","[60,65)",3172,172121,0.0184288959511042
"HTN","0","[65,70)",9221,164562,0.056033592202331
"Arthritis","1","[75,80)",17670,120407,0.146752265233749
"Depress","1","[45,50)",10434,206166,0.0506097028608015
"Arthritis","1","[65,70)",17722,168324,0.105285045507474
"Depress","0","[50,55)",5783,194439,0.0297419756324606
"Cancer","0","[75,80)",6186,105382,0.0587007268793532
"Fatigue","1","[55,60)",11633,184234,0.0631425252667803
"Incont","0","[60,65)",902,168738,0.0053455653142742
"Arthritis","1","[70,75)",17814,142086,0.125374773024788
"Depress","0","[45,50)",6255,191151,0.0327228212251048
"Vision","1","[65,70)",2192,168324,0.0130225042180557
"Arthritis","0","[50,55)",9711,194439,0.0499436841374416
"Arthritis","0","[80,120]",20330,151396,0.13428360062353
"Kidney","0","[80,120]",17167,151396,0.113391370974134
"Thyroid","1","[50,55)",4252,206433,0.0205974819917358
"Chronpain","1","[75,80)",11883,120407,0.0986902754823225
"Anemia","0","[75,80)",4039,105382,0.0383272285589569
"CVA","0","[80,120]",5139,151396,0.0339440936352347
"Thyroid","1","[40,45)",3076,187171,0.0164341698233166
"Dementia","1","[80,120]",22153,233184,0.0950022299986277
"AFIB","1","[55,60)",620,184234,0.00336528545219666
"Hearing","0","[50,55)",2429,194439,0.012492349785794
"Muscular","0","[45,50)",478,191151,0.00250064085461232
"HTN","0","[40,45)",3652,172657,0.0211517633226571
"PD","1","[80,120]",4218,233184,0.018088719637711
"Thyroid","0","[80,120]",2335,151396,0.0154231287484478
"Arthritis","1","[55,60)",12389,184234,0.0672460023665556
"CVA","1","[65,70)",1499,168324,0.00890544426225613
"Anxiety","1","[80,120]",3885,233184,0.0166606628242075
"Hearing","0","[75,80)",4729,105382,0.0448748363098062
"Fatigue","1","[50,55)",13926,206433,0.0674601444536484
"Chronpain","0","[50,55)",14082,194439,0.0724237421504945
"Arthritis","0","[60,65)",14800,168738,0.0877099408550534
"Depress","1","[80,120]",4435,233184,0.0190193152188829
"HTN","1","[70,75)",7583,142086,0.0533690863279985
"Cancer","0","[55,60)",2377,179077,0.0132736197278266
"CAD","0","[70,75)",3849,133029,0.0289335408068917
"Diabetes","0","[40,45)",2752,172657,0.0159391162825718
"Diabetes","0","[80,120]",7674,151396,0.0506882612486459
"Hearing","0","[70,75)",5024,133029,0.0377662013545919
"Anxiety","1","[50,55)",4743,206433,0.0229759776779875
"Dementia","0","[50,55)",2225,194439,0.0114431775518286
"Fatigue","1","[45,50)",14315,206166,0.0694343393188014
"PD","0","[75,80)",2445,105382,0.0232013057258355
"Kidney","0","[60,65)",3290,168738,0.0194976827981842
"CAD","0","[55,60)",3203,179077,0.017886160701821
"Vision","0","[80,120]",6053,151396,0.0399812412481175
"Arthritis","0","[40,45)",4660,172657,0.0269899280075525
"Kidney","0","[65,70)",5374,164562,0.032656384827603
"Arthritis","1","[45,50)",5172,206166,0.02508658071651
"CVA","0","[70,75)",2257,133029,0.0169662254094972
"Cancer","0","[70,75)",5834,133029,0.0438550992640702
"HTN","0","[80,120]",4963,151396,0.0327815794340669
"Incont","1","[55,60)",3184,184234,0.0172823691609583
"Anemia","1","[80,120]",12523,233184,0.0537043707973103
"Cancer","0","[80,120]",11927,151396,0.0787801527120928
"Diabetes","1","[60,65)",5732,172121,0.033302153717443
"Incont","1","[45,50)",2971,206166,0.0144107175770981
"Osteo","1","[80,120]",11328,233184,0.0485796624125154
"Anxiety","1","[40,45)",5399,187171,0.0288452805188838
"CAD","1","[80,120]",5941,233184,0.0254777343213943
"Anxiety","0","[40,45)",2993,172657,0.0173349473233057
"Cancer","0","[45,50)",1006,191151,0.00526285502037656
"Dementia","0","[55,60)",2255,179077,0.0125923485428056
"Lung","0","[65,70)",8312,164562,0.0505098382372601
"Vision","1","[80,120]",8937,233184,0.0383259571840264
"Dementia","1","[60,65)",1929,172121,0.0112072321215889
"CAD","0","[60,65)",3736,168738,0.0221408337185459
"Diabetes","1","[80,120]",8928,233184,0.0382873610539317
"HTN","1","[45,50)",4932,206166,0.023922470242426
"Muscular","0","[50,55)",604,194439,0.00310637269272111
"Muscular","1","[80,120]",4406,233184,0.0188949499108001
"Osteo","1","[65,70)",4325,168324,0.0256944939521399
"Lung","0","[75,80)",7765,105382,0.0736843104135431
"Anemia","1","[45,50)",4956,206166,0.0240388812898344
"Diabetes","0","[50,55)",6871,194439,0.0353375608802761
"Diabetes","1","[65,70)",6096,168324,0.0362158693947387
"Liver","1","[55,60)",890,184234,0.00483081298783069
"Thyroid","0","[60,65)",1239,168738,0.00734274437293319
"Muscular","1","[75,80)",1427,120407,0.0118514704294601
"Cancer","0","[60,65)",3407,168738,0.0201910654387275
"PVD","1","[75,80)",3348,120407,0.0278056923600787
"Depress","0","[70,75)",1702,133029,0.0127942027678175
"AFIB","1","[45,50)",165,206166,0.000800325950932744
"Fatigue","0","[50,55)",6275,194439,0.0322723321967301
"Vision","1","[60,65)",1557,172121,0.00904596185241778
"Incont","1","[40,45)",2010,187171,0.0107388430900086
"Incont","0","[70,75)",1404,133029,0.0105540897097625
"HF","1","[65,70)",725,168324,0.00430716950642808
"Liver","1","[70,75)",578,142086,0.00406795884182819
"Vision","0","[70,75)",2623,133029,0.0197175052056319
"Dementia","1","[55,60)",1831,184234,0.00993844784350337
"HTN","1","[40,45)",2650,187171,0.0141581762131954
"Anemia","0","[60,65)",1999,168738,0.0118467683627873
"Incont","0","[50,55)",604,194439,0.00310637269272111
"Thyroid","0","[40,45)",712,172657,0.00412378299171189
"Osteo","0","[70,75)",791,133029,0.0059460719091326
"Hearing","0","[40,45)",1567,172657,0.00907579767979288
"Liver","0","[55,60)",1042,179077,0.00581872602288401
"Muscular","0","[80,120]",2973,151396,0.0196372427276811
"HF","1","[70,75)",1193,142086,0.00839632335346199
"PerNeuro","0","[65,70)",239,164562,0.00145234015143229
"Anxiety","0","[65,70)",1454,164562,0.00883557564929935
"Cancer","1","[45,50)",1286,206166,0.00623769195696672
"Muscular","0","[75,80)",1373,105382,0.0130287904955305
"Vision","1","[70,75)",2590,142086,0.0182283968863927
"Vision","0","[55,60)",1109,179077,0.00619286675564143
"PVD","1","[40,45)",1274,187171,0.00680660999834376
"Liver","0","[70,75)",632,133029,0.00475084380097573
"Muscular","1","[50,55)",813,206433,0.0039383238145064
"Incont","0","[45,50)",488,191151,0.00255295551684271
"PVD","0","[55,60)",2265,179077,0.0126481904432172
"Osteo","1","[50,55)",988,206433,0.00478605649290569
"Thyroid","0","[50,55)",1123,194439,0.00577559028795663
"Kidney","0","[50,55)",1510,194439,0.00776593173180278
"Osteo","0","[50,55)",271,194439,0.00139375331080699
"Anemia","0","[40,45)",461,172657,0.00267003365053256
"PerNeuro","0","[75,80)",235,105382,0.00222998234992693
"Hearing","1","[40,45)",1502,187171,0.00802474742347906
"Anemia","1","[60,65)",2195,172121,0.0127526565613725
"PD","0","[55,60)",941,179077,0.00525472282872731
"Vision","1","[45,50)",630,206166,0.00305578999447048
"PerNeuro","1","[65,70)",140,168324,0.000831729283999905
"CAD","1","[45,50)",368,206166,0.00178496939359545
"Vision","1","[50,55)",871,206433,0.00421928664506159
"CAD","0","[45,50)",1194,191151,0.00624637067030777
"Vision","1","[40,45)",408,187171,0.0021798248660316
"PerNeuro","0","[45,50)",82,191151,0.000428980230289143
"CAD","1","[55,60)",1041,184234,0.00565042283183343
"Osteo","0","[40,45)",129,172657,0.000747146075745553
"AFIB","0","[40,45)",304,172657,0.00176071633353991
"PerNeuro","1","[70,75)",134,142086,0.00094309080416086
"Osteo","1","[40,45)",202,187171,0.00107922701700584
"Osteo","0","[55,60)",388,179077,0.00216666573596833
"PD","0","[40,45)",385,172657,0.00222985456714758
"PerNeuro","1","[60,65)",92,172121,0.0005345077009778
"PerNeuro","0","[60,65)",192,168738,0.00113785869217367
"Falls","1","[55,60)",5141,184234,0.0279047298544243
"Falls","0","[80,120]",18959,151396,0.125227879204206
"Falls","1","[45,50)",3416,206166,0.0165691724144621
"WgtLoss","1","[40,45)",756,187171,0.00403908725176443
"WgtLoss","1","[55,60)",1066,184234,0.00578611982587362
"WgtLoss","0","[55,60)",1118,179077,0.00624312446601183
"Falls","0","[65,70)",3681,164562,0.0223684690268713
"GaitAb","0","[50,55)",153,194439,0.000786879175474056
"WgtLoss","0","[45,50)",858,191151,0.00448859801936689
"GaitAb","0","[80,120]",597,151396,0.00394330101191577
"GaitAb","0","[70,75)",277,133029,0.00208225274188335
"GaitAb","0","[55,60)",164,179077,0.000915807166749499
"GaitAb","1","[45,50)",109,206166,0.000528700173646479
"GaitAb","0","[60,65)",222,168738,0.0013156491128258
"GaitAb","1","[40,45)",84,187171,0.00044878747241827
"GaitAb","1","[55,60)",160,184234,0.000868460761857203
"Fatigue","0","[75,80)",5726,105382,0.0543356550454537
"HTN","1","[55,60)",7186,184234,0.0390047439669116
"Fatigue","0","[80,120]",10614,151396,0.070107532563608
"PVD","0","[50,55)",1662,194439,0.00854766790612994
"Fatigue","1","[65,70)",9875,168324,0.058666619139279
"Chronpain","1","[40,45)",17719,187171,0.0946674431402301
"Thyroid","1","[55,60)",4100,184234,0.0222543070225908
"Chronpain","0","[45,50)",14029,191151,0.0733922396430047
"Kidney","0","[70,75)",6872,133029,0.0516579091776981
"Kidney","1","[80,120]",26856,233184,0.115170852202552
"HTN","0","[55,60)",9564,179077,0.053407193553611
"Arthritis","0","[70,75)",15426,133029,0.115959677964955
"PVD","0","[65,70)",4404,164562,0.0267619499033799
"Diabetes","0","[55,60)",7966,179077,0.0444836578678446
"HTN","1","[60,65)",7546,172121,0.0438412512128096
"Lung","1","[65,70)",9043,168324,0.0537237708229367
"Arthritis","1","[80,120]",30920,233184,0.132599149169754
"Dementia","0","[70,75)",3318,133029,0.0249419299551226
"Thyroid","1","[65,70)",3693,168324,0.0219398303272261
"CAD","1","[75,80)",2400,120407,0.0199323959570457
"Fatigue","0","[45,50)",5955,191151,0.0311533813581933
"Incont","1","[75,80)",3981,120407,0.0330628617937495
"Depress","1","[70,75)",3141,142086,0.0221063299691736
"Diabetes","1","[75,80)",5778,120407,0.0479872432665875
"Chronpain","1","[65,70)",14279,168324,0.0848304460445332
"Fatigue","1","[70,75)",9077,142086,0.0638838449952845
"AFIB","1","[75,80)",3973,120407,0.0329964204738927
"Chronpain","0","[55,60)",12748,179077,0.0711872546446501
"Dementia","1","[75,80)",5397,120407,0.0448229754084065
"Kidney","1","[55,60)",2557,184234,0.0138790885504304
"Fatigue","0","[55,60)",6205,179077,0.0346498992053698
"Anemia","0","[80,120]",8890,151396,0.0587201775476235
"AFIB","0","[65,70)",3475,164562,0.0211166611976033
"Depress","0","[40,45)",6014,172657,0.0348320658878586
"Vision","1","[55,60)",1121,184234,0.00608465321276203
"Lung","0","[70,75)",8587,133029,0.0645498349983838
"Kidney","1","[70,75)",7838,142086,0.0551637740523345
"Dementia","0","[65,70)",2700,164562,0.0164071899952601
"Lung","1","[60,65)",7872,172121,0.0457352676314918
"Anemia","0","[50,55)",989,194439,0.00508642813427347
"Dementia","1","[45,50)",1472,206166,0.00713987757438181
"Lung","1","[75,80)",7994,120407,0.0663914888669263
"Cancer","1","[75,80)",4344,120407,0.0360776366822527
"Fatigue","0","[40,45)",5204,172657,0.0301406835517819
"Diabetes","0","[75,80)",6501,105382,0.0616898521569148
"Osteo","1","[60,65)",3250,172121,0.0188820655236723
"AFIB","1","[80,120]",11585,233184,0.0496817963496638
"Lung","1","[40,45)",4432,187171,0.0236788818780687
"Incont","1","[50,55)",3343,206433,0.0161941162507932
"CVA","0","[60,65)",1570,168738,0.00930436534746175
"Hearing","1","[70,75)",4146,142086,0.0291795110003801
"Chronpain","0","[65,70)",10833,164562,0.0658292923032049
"Incont","0","[80,120]",4895,151396,0.0323324262199794
"AFIB","1","[70,75)",2822,142086,0.0198612108159847
"Anxiety","1","[45,50)",5352,206166,0.025959663572073
"HTN","0","[50,55)",8871,194439,0.0456235631740546
"Dementia","1","[70,75)",3440,142086,0.024210689300846
"Incont","0","[65,70)",1247,164562,0.00757769108299607
"Depress","0","[80,120]",2160,151396,0.0142672197416048
"Depress","1","[75,80)",2694,120407,0.0223741144617838
"AFIB","0","[60,65)",2296,168738,0.0136068935272434
"Anxiety","1","[75,80)",2209,120407,0.0183461094454641
"PD","0","[65,70)",1887,164562,0.0114668027855763
"HTN","0","[70,75)",6714,133029,0.0504701982274542
"Incont","0","[40,45)",360,172657,0.0020850588160341
"AFIB","1","[60,65)",1100,172121,0.0063908529464737
"PVD","1","[60,65)",1987,172121,0.0115442043678575
"CAD","0","[65,70)",3940,164562,0.0239423439190092
"CVA","1","[40,45)",229,187171,0.00122348013314028
"PVD","0","[60,65)",2976,168738,0.0176368097286918
"HTN","0","[45,50)",6472,191151,0.0338580493955041
"Fatigue","0","[65,70)",6348,164562,0.0385751266999672
"Anemia","1","[40,45)",3877,187171,0.0207136789353051
"Diabetes","1","[55,60)",5164,184234,0.0280295710889412
"Kidney","1","[45,50)",1221,206166,0.0059224120369023
"PVD","1","[65,70)",2482,168324,0.0147453720206269
"PD","0","[80,120]",3774,151396,0.0249280033818595
"PVD","1","[45,50)",1534,206166,0.00744060611352017
"Cancer","1","[65,70)",3884,168324,0.0230745467075402
"Hearing","1","[75,80)",4547,120407,0.0377635851736195
"HTN","1","[65,70)",8206,168324,0.0487512178893087
"HF","1","[75,80)",1818,120407,0.0150987899374621
"Thyroid","0","[65,70)",1292,164562,0.00785114424958374
"Thyroid","0","[70,75)",1228,133029,0.00923106991708575
"HTN","0","[75,80)",4516,105382,0.0428536182649788
"Vision","0","[75,80)",2829,105382,0.0268451917784821
"Osteo","1","[75,80)",5067,120407,0.0420822709643127
"PVD","1","[55,60)",1746,184234,0.00947707806376673
"PD","1","[70,75)",1952,142086,0.0137381585800149
"CAD","0","[80,120]",5771,151396,0.0381185764485191
"Incont","1","[80,120]",9930,233184,0.0425843968711404
"HTN","1","[75,80)",6404,120407,0.0531862765453836
"PD","0","[50,55)",719,194439,0.00369781782461337
"Hearing","0","[60,65)",3745,168738,0.0221941708447416
"AFIB","0","[80,120]",9112,151396,0.0601865306877328
"Dementia","1","[40,45)",1092,187171,0.00583423714143751
"Muscular","1","[45,50)",740,206166,0.00358934062842564
"Depress","0","[55,60)",4754,179077,0.0265472394556532
"AFIB","0","[70,75)",4268,133029,0.032083229972412
"Hearing","1","[65,70)",3829,168324,0.0227477959173974
"Dementia","0","[45,50)",1955,191151,0.0102275164660399
"Anxiety","0","[75,80)",893,105382,0.00847393292972234
"PD","0","[70,75)",2246,133029,0.0168835366724549
"Liver","0","[60,65)",971,168738,0.00575448328177411
"HF","0","[55,60)",748,179077,0.0041769741507843
"Vision","0","[40,45)",409,172657,0.00236885848821652
"Liver","0","[40,45)",566,172657,0.00327817580520917
"Kidney","1","[40,45)",738,187171,0.0039429185076748
"Liver","0","[50,55)",1005,194439,0.0051687161526237
"Cancer","0","[65,70)",4849,164562,0.0294660978840802
"PD","1","[75,80)",2227,120407,0.018495602415142
"Kidney","0","[40,45)",617,172657,0.00357355913748067
"Thyroid","1","[60,65)",3769,172121,0.0218973861411449
"Muscular","1","[40,45)",614,187171,0.00328042271505735
"HF","0","[70,75)",2085,133029,0.0156732742484721
"PerNeuro","1","[55,60)",93,184234,0.000504792817829499
"Muscular","0","[60,65)",832,168738,0.00493072099941922
